Week,Free,Subscribed,Virtual
2012-09-24,0.0485,,0.1187
2012-10-01,0.0405,,0.1023
2012-10-08,0.0349,,0.0905
2012-10-15,0.0272,,0.067
2012-10-22,0.0283,,0.0728
2012-10-29,0.0339,,0.0474
2012-11-05,0.0446,0.0587,0.0719
2012-11-12,0.0382,0.024,0.0637
2012-11-19,0.1913,0.3773,0.1339
2012-11-26,0.0682,0.0223,0.1187
2012-12-03,0.0413,0.0244,0.073
2012-12-10,0.0953,0.0538,0.1115
2012-12-17,0.0287,0.0724,0.1199
2012-12-24,0.0167,0.134,0.068
2012-12-31,0.0951,0.0264,0.1084
2013-01-07,0.0372,0.0504,0.0664
2013-01-14,0.026,0.0399,0.0415
2013-01-21,0.0139,0.0418,0.0367
2013-01-28,0.0172,0.051,0.0377
2013-02-04,0.0065,0.0501,0.0322
2013-02-11,0.2517,0.0545,0.1164
2013-02-18,0.1559,0.0546,0.1547
2013-02-25,0.1582,0.3386,0.1369
2013-03-04,0.0598,0.1323,0.0818
2013-03-11,0.0268,0.0634,0.0625
2013-03-18,0.0204,0.0478,0.0487
2013-03-25,0.0349,0.0428,0.0573
2013-04-01,0.0666,0.0395,0.0462
2013-04-08,0.0231,0.0283,0.039
2013-04-15,0.0117,0.0261,0.0322
2013-04-22,0.0129,0.0275,0.0357
2013-04-29,0.0359,0.0343,0.0513
2013-05-06,0.0376,0.0249,0.0528
2013-05-13,0.044,0.023,0.0519
2013-05-20,0.0593,0.0234,0.0356
2013-05-27,0.0466,0.0173,0.0436
2013-06-03,0.0197,0.0079,0.0285
2013-06-10,0.0145,0.01,0.0306
2013-06-17,0.1382,0.0418,0.0603
2013-06-24,0.0594,0.0456,0.0792
2013-07-01,0.0284,0.0244,0.0584
2013-07-08,0.0228,0.0233,0.0535
2013-07-15,0.0524,0.0343,0.0526
2013-07-22,0.0586,0.0544,0.0648
2013-07-29,0.084,0.064,0.0615
2013-08-05,0.0586,0.08,0.083
2013-08-12,0.0243,0.0528,0.0619
2013-08-19,0.0478,0.0581,0.0626
2013-08-26,0.0417,0.0476,0.0603
2013-09-02,0.0201,0.0292,0.0422
2013-09-09,0.0203,0.0299,0.0356
2013-09-16,0.0198,0.0258,0.0352
2013-09-23,0.023,0.027,0.0354
2013-09-30,0.022,0.0314,0.0347
2013-10-07,0.0144,0.0202,0.03
2013-10-14,0.02,0.0274,0.0296
2013-10-21,0.0194,0.0196,0.0293
