Date,Others,EC2 (Image Analysis),EC2 (Other),S3 (Normal),S3 (RRS),S3 (IO),RDS (Instances),RDS (Storage)
Oct-12,0.0311103169995,0.285940226584,0.121393525632,0.161552906821,0.0428261420413,0.0147536913055,0.284775146735,0.057648043882
Nov-12,0.0499065952118,0.302438139534,0.135776245235,0.149479221688,0.041045991825,0.0271336796346,0.224500745761,0.069719381111
Dec-12,0.0619720507802,0.31886873054,0.177294561472,0.114372198108,0.0398192680684,0.0354403694071,0.181787279943,0.0704455416816
Jan-13,0.0607067898458,0.247785709739,0.145953034556,0.117274029096,0.0390923736881,0.0251666976385,0.277546266411,0.0864750990255
Feb-13,0.0347450394445,0.385093711341,0.10611394729,0.124760999392,0.0384780003552,0.0335795854149,0.176766231113,0.100462485649
Mar-13,0.0856578119095,0.256841195023,0.110791730814,0.18691055752,0.0589023599761,0.0428438074087,0.160072102831,0.0979804345177
Apr-13,0.0399533816973,0.0483556773721,0.0912114493722,0.346827920356,0.0931951897169,0.0167055843622,0.207790399327,0.155960397796
May-13,0.0378007586222,0.0899296358261,0.0824831722711,0.359926042208,0.0887809569739,0.015448629516,0.194132622646,0.131498181937
Jun-13,0.0376565381773,0.0817444446793,0.0788561560105,0.393659910843,0.0972093826349,0.0182820025846,0.161835468721,0.130756096349
Jul-13,0.040498460282,0.186975803403,0.0598193649682,0.350937042378,0.0838497480403,0.0206779170024,0.128454604264,0.128787059661
Aug-13,0.0457653897221,0.145023627724,0.0611971925232,0.375564455897,0.0897205263755,0.025361894589,0.112020476773,0.145346436396
Sep-13,0.0475771234217,0.0633233787948,0.0507666432424,0.433531271261,0.104383556371,0.0202832787597,0.121703862721,0.158430885429
Oct-13,0.0313383151262,0.0838827493255,0.0445131809619,0.440504953822,0.106282249318,0.0167289507619,0.114266280838,0.162483319847
Nov-13,0.0449528834689,0.0332827637683,0.0419086345864,0.482869585331,0.10771575152,0.0169377910741,0.111552664281,0.16077992597
