Hour,Requested,Sent
2013-10-30 01:00:00,4,4
2013-10-30 02:00:00,6,6
2013-10-30 03:00:00,7,7
2013-10-30 04:00:00,9,9
2013-10-30 05:00:00,8,8
2013-10-30 06:00:00,9,9
2013-10-30 07:00:00,12,12
2013-10-30 08:00:00,10,6
2013-10-30 09:00:00,9,13
2013-10-30 10:00:00,15,8
2013-10-30 11:00:00,12,1
2013-10-30 12:00:00,11,5
2013-10-30 13:00:00,9,15
2013-10-30 14:00:00,3,15
2013-10-30 15:00:00,6,12
2013-10-30 16:00:00,7,7
2013-10-30 17:00:00,3,3
2013-10-30 18:00:00,4,4
2013-10-30 19:00:00,5,5
2013-10-30 20:00:00,6,6
2013-10-30 21:00:00,5,5
2013-10-30 22:00:00,2,2
2013-10-30 23:00:00,1,1
2013-10-31 00:00:00,1,1
2013-10-31 01:00:00,8,8
2013-10-31 02:00:00,10,10
2013-10-31 03:00:00,8,8
2013-10-31 04:00:00,4,5
2013-10-31 05:00:00,7,7
2013-10-31 06:00:00,7,7
2013-10-31 07:00:00,10,10
2013-10-31 08:00:00,4,4
2013-10-31 09:00:00,11,11
2013-10-31 10:00:00,6,6
2013-10-31 11:00:00,11,11
2013-10-31 12:00:00,11,11
2013-10-31 13:00:00,10,10
2013-10-31 14:00:00,10,10
2013-10-31 15:00:00,15,15
2013-10-31 16:00:00,6,6
2013-10-31 17:00:00,7,7
2013-10-31 18:00:00,5,5
2013-10-31 19:00:00,9,9
2013-10-31 20:00:00,1,1
2013-10-31 21:00:00,12,12
2013-10-31 22:00:00,14,14
2013-10-31 23:00:00,7,7
2013-11-01 00:00:00,11,11
2013-11-01 01:00:00,11,11
2013-11-01 02:00:00,5,5
2013-11-01 03:00:00,12,12
2013-11-01 04:00:00,7,7
2013-11-01 05:00:00,10,10
2013-11-01 06:00:00,12,12
2013-11-01 07:00:00,5,5
2013-11-01 08:00:00,14,14
2013-11-01 09:00:00,12,12
2013-11-01 10:00:00,10,10
2013-11-01 11:00:00,13,13
2013-11-01 12:00:00,8,8
2013-11-01 13:00:00,7,7
2013-11-01 14:00:00,6,6
2013-11-01 15:00:00,7,7
2013-11-01 16:00:00,12,12
2013-11-01 17:00:00,10,10
2013-11-01 18:00:00,5,5
2013-11-01 19:00:00,5,5
2013-11-01 20:00:00,8,8
2013-11-01 21:00:00,4,4
2013-11-01 22:00:00,6,6
2013-11-01 23:00:00,2,2
2013-11-02 00:00:00,4,4
2013-11-02 01:00:00,6,6
2013-11-02 02:00:00,7,7
2013-11-02 03:00:00,5,5
2013-11-02 04:00:00,10,10
2013-11-02 05:00:00,14,14
2013-11-02 06:00:00,5,5
2013-11-02 07:00:00,10,10
2013-11-02 08:00:00,14,14
2013-11-02 09:00:00,10,10
2013-11-02 10:00:00,12,12
2013-11-02 11:00:00,7,7
2013-11-02 12:00:00,12,12
2013-11-02 13:00:00,9,9
2013-11-02 14:00:00,9,9
2013-11-02 15:00:00,5,5
2013-11-02 16:00:00,4,4
2013-11-02 17:00:00,8,8
2013-11-02 18:00:00,8,8
2013-11-02 19:00:00,7,7
2013-11-02 20:00:00,7,7
2013-11-02 21:00:00,10,10
2013-11-02 22:00:00,3,3
2013-11-02 23:00:00,6,6
2013-11-03 00:00:00,3,3
2013-11-03 01:00:00,28,28
2013-11-03 02:00:00,12,12
2013-11-03 03:00:00,9,9
2013-11-03 04:00:00,13,13
2013-11-03 05:00:00,14,14
2013-11-03 06:00:00,9,10
2013-11-03 07:00:00,21,21
2013-11-03 08:00:00,9,9
2013-11-03 09:00:00,15,15
2013-11-03 10:00:00,11,11
2013-11-03 11:00:00,7,7
2013-11-03 12:00:00,11,11
2013-11-03 13:00:00,17,17
2013-11-03 14:00:00,10,10
2013-11-03 15:00:00,10,9
2013-11-03 16:00:00,13,14
2013-11-03 17:00:00,11,11
2013-11-03 18:00:00,10,10
2013-11-03 19:00:00,12,12
2013-11-03 20:00:00,5,5
2013-11-03 21:00:00,9,9
2013-11-03 22:00:00,5,5
2013-11-03 23:00:00,3,3
2013-11-04 00:00:00,4,4
2013-11-04 01:00:00,6,6
2013-11-04 02:00:00,9,9
2013-11-04 03:00:00,7,7
2013-11-04 04:00:00,9,10
2013-11-04 05:00:00,7,7
2013-11-04 06:00:00,8,8
2013-11-04 07:00:00,13,14
2013-11-04 08:00:00,5,5
2013-11-04 09:00:00,10,10
2013-11-04 10:00:00,8,8
2013-11-04 11:00:00,16,17
2013-11-04 12:00:00,5,5
2013-11-04 13:00:00,11,11
2013-11-04 14:00:00,6,6
2013-11-04 15:00:00,7,7
2013-11-04 16:00:00,11,11
2013-11-04 17:00:00,6,6
2013-11-04 18:00:00,8,8
2013-11-04 19:00:00,10,10
2013-11-04 20:00:00,17,17
2013-11-04 21:00:00,9,9
2013-11-04 22:00:00,8,8
2013-11-04 23:00:00,1,1
2013-11-05 00:00:00,3,3
2013-11-05 01:00:00,8,8
2013-11-05 02:00:00,3,3
2013-11-05 03:00:00,5,5
2013-11-05 04:00:00,8,8
2013-11-05 05:00:00,5,5
2013-11-05 06:00:00,6,6
