Week,Last 24 Hours,Last 7 Days,Last 30 Days
2012-08-27,0.0,0.026,0.0729
2012-09-03,0.0095,0.0273,0.0629
2012-09-10,0.0057,0.0227,0.0625
2012-09-17,0.0126,0.0189,0.044
2012-09-24,0.007,0.0383,0.0697
2012-10-01,0.0067,0.0268,0.0604
2012-10-08,0.0,0.0288,0.0432
2012-10-15,0.0088,0.0354,0.0619
2012-10-22,0.0,0.0273,0.0455
2012-10-29,0.0,0.0084,0.0252
2012-11-05,0.0,0.0085,0.0424
2012-11-12,0.0,0.0106,0.0319
2012-11-19,0.0,0.0201,0.0403
2012-11-26,0.006,0.025,0.0488
2012-12-03,0.0036,0.0251,0.0358
2012-12-10,0.0046,0.0183,0.0459
2012-12-17,0.0058,0.0234,0.0624
2012-12-24,0.0102,0.0457,0.0914
2012-12-31,0.0138,0.0507,0.0922
2013-01-07,0.012,0.034,0.072
2013-01-14,0.0097,0.0323,0.0581
2013-01-21,0.0104,0.0104,0.0625
2013-01-28,0.0069,0.0694,0.1181
2013-02-04,0.0,0.0263,0.0579
2013-02-11,0.0,0.0,0.0336
2013-02-18,0.0206,0.1034,0.1949
2013-02-25,0.0216,0.0991,0.2022
2013-03-04,0.0197,0.0873,0.1741
2013-03-11,0.0196,0.0737,0.1636
2013-03-18,0.0165,0.1038,0.2005
2013-03-25,0.0126,0.093,0.1784
2013-04-01,0.0143,0.0796,0.1413
2013-04-08,0.0253,0.0963,0.1749
2013-04-15,0.0144,0.0913,0.1755
2013-04-22,0.0175,0.1096,0.2061
2013-04-29,0.0101,0.0676,0.1318
2013-05-06,0.0052,0.0747,0.1508
2013-05-13,0.0204,0.0831,0.1865
2013-05-20,0.0169,0.0831,0.1573
2013-05-27,0.0108,0.0791,0.1382
2013-06-03,0.0242,0.0774,0.1524
2013-06-10,0.0135,0.0876,0.1865
2013-06-17,0.0254,0.096,0.1864
2013-06-24,0.0217,0.1077,0.198
2013-07-01,0.0181,0.1073,0.1965
2013-07-08,0.0114,0.1116,0.197
2013-07-15,0.0174,0.0949,0.1898
2013-07-22,0.0359,0.1672,0.2781
2013-07-29,0.0287,0.117,0.2264
2013-08-05,0.0378,0.162,0.3051
2013-08-12,0.0359,0.1653,0.29
2013-08-19,0.0316,0.15,0.2695
2013-08-26,0.0535,0.1825,0.3283
2013-09-02,0.0542,0.1852,0.3234
2013-09-09,0.0494,0.174,0.3233
2013-09-16,0.042,0.1924,0.3675
2013-09-23,0.0638,0.2564,0.4809
2013-09-30,0.0733,0.2276,0.4953
2013-10-07,0.0636,0.2677,1.0
2013-10-14,0.0944,0.2978,1.0
2013-10-21,0.1244,0.3815,1.0
2013-10-28,0.1353,0.8853,0.9991
2013-11-04,0.3978,1.0,1.0
