Week,Web,User,iOS,Android,Mac,Windows,Photo Mail,Photo Page
2012-08-27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-08,0.8583,0.0,0.1024,0.0,0.0,0.0,0.0394,0.0
2012-10-15,0.7264,0.0,0.217,0.0,0.0,0.0,0.0566,0.0
2012-10-22,0.7212,0.0,0.2404,0.0,0.0,0.0,0.0385,0.0
2012-10-29,0.6825,0.0,0.2302,0.0,0.0,0.0,0.0873,0.0
2012-11-05,0.748,0.0,0.2114,0.0,0.0081,0.0081,0.0244,0.0
2012-11-12,0.7067,0.0,0.2212,0.0,0.0,0.0,0.0721,0.0
2012-11-19,0.6803,0.0,0.2787,0.0,0.0,0.0,0.041,0.0
2012-11-26,0.7945,0.0,0.2011,0.0,0.0,0.0,0.0044,0.0
2012-12-03,0.797,0.0,0.1761,0.0,0.0,0.0,0.0269,0.0
2012-12-10,0.7754,0.0,0.1907,0.0,0.0,0.0,0.0339,0.0
2012-12-17,0.712,0.0,0.2688,0.0,0.0,0.0,0.0192,0.0
2012-12-24,0.6579,0.0,0.2368,0.0,0.0,0.0088,0.0965,0.0
2012-12-31,0.6524,0.0,0.2704,0.0,0.0,0.0,0.0773,0.0
2013-01-07,0.82,0.0,0.1487,0.0,0.0,0.0,0.0313,0.0
2013-01-14,0.6529,0.0,0.2971,0.0,0.0029,0.0,0.0471,0.0
2013-01-21,0.5882,0.0,0.3213,0.0,0.0045,0.0,0.086,0.0
2013-01-28,0.5215,0.0,0.4172,0.0,0.0,0.0061,0.0552,0.0
2013-02-04,0.6533,0.0,0.2864,0.0,0.0,0.0,0.0603,0.0
2013-02-11,0.6231,0.0,0.3,0.0,0.0,0.0,0.0769,0.0
2013-02-18,0.8052,0.0,0.182,0.0,0.0,0.0,0.0128,0.0
2013-02-25,0.7446,0.0,0.2219,0.0,0.0,0.0,0.0335,0.0
2013-03-04,0.6899,0.0,0.29,0.0,0.0004,0.0,0.0197,0.0
2013-03-11,0.6754,0.0,0.2845,0.0,0.0011,0.0,0.039,0.0
2013-03-18,0.6329,0.0,0.2616,0.0,0.0,0.0,0.1055,0.0
2013-03-25,0.5938,0.0,0.3333,0.0,0.0,0.0,0.0728,0.0
2013-04-01,0.7821,0.0,0.1699,0.0,0.0011,0.0,0.0468,0.0
2013-04-08,0.7393,0.0,0.2359,0.0,0.0,0.0,0.0248,0.0
2013-04-15,0.6479,0.0,0.2894,0.0,0.0,0.0,0.0605,0.0022
2013-04-22,0.6308,0.0346,0.2654,0.0,0.0,0.0038,0.0654,0.0
2013-04-29,0.5791,0.1171,0.2278,0.0,0.0032,0.0,0.0728,0.0
2013-05-06,0.6962,0.0933,0.1832,0.0,0.0,0.0,0.0273,0.0
2013-05-13,0.6353,0.1317,0.1867,0.0,0.0,0.0043,0.0391,0.0029
2013-05-20,0.55,0.2469,0.1406,0.0,0.0344,0.0,0.025,0.0031
2013-05-27,0.4866,0.0877,0.3532,0.0,0.0464,0.0,0.0232,0.0029
2013-06-03,0.5484,0.136,0.2807,0.0,0.0,0.0,0.025,0.0098
2013-06-10,0.4768,0.1582,0.3038,0.0,0.0063,0.0,0.0401,0.0148
2013-06-17,0.5406,0.1523,0.2487,0.0,0.0025,0.0,0.0457,0.0102
2013-06-24,0.6945,0.0679,0.2257,0.0,0.0006,0.0003,0.0091,0.002
2013-07-01,0.5953,0.1347,0.24,0.0,0.0033,0.002,0.0207,0.004
2013-07-08,0.4963,0.2042,0.2561,0.0,0.0032,0.0,0.0307,0.0095
2013-07-15,0.4012,0.1429,0.4137,0.0,0.0,0.0012,0.0335,0.0075
2013-07-22,0.6963,0.1081,0.1767,0.0,0.0009,0.0,0.0156,0.0023
2013-07-29,0.6119,0.2044,0.159,0.0,0.0013,0.0,0.02,0.0033
2013-08-05,0.6107,0.086,0.2887,0.0,0.0003,0.0,0.0121,0.0023
2013-08-12,0.5658,0.1799,0.2272,0.0,0.0016,0.0,0.0218,0.0036
2013-08-19,0.588,0.1667,0.1983,0.0026,0.0017,0.0009,0.0342,0.0077
2013-08-26,0.6078,0.1659,0.1792,0.0197,0.0004,0.0004,0.0206,0.006
2013-09-02,0.5267,0.1372,0.2696,0.0214,0.0018,0.0006,0.0386,0.0042
2013-09-09,0.5342,0.1871,0.2179,0.0203,0.0,0.0,0.0318,0.0087
2013-09-16,0.5356,0.1243,0.2888,0.0137,0.0009,0.0,0.0338,0.0027
2013-09-23,0.5729,0.1625,0.2136,0.0186,0.0,0.0009,0.026,0.0056
2013-09-30,0.5543,0.1659,0.2247,0.0216,0.0015,0.0,0.032,0.0
2013-10-07,0.5704,0.163,0.2152,0.0115,0.0009,0.0,0.0354,0.0035
2013-10-14,0.5572,0.1469,0.2203,0.0194,0.0022,0.0,0.0475,0.0065
2013-10-21,0.6239,0.1435,0.1843,0.0259,0.0,0.0,0.0192,0.0033
2013-10-28,0.5188,0.1487,0.266,0.0262,0.0026,0.0,0.0297,0.0079
2013-11-04,0.5102,0.2245,0.199,0.0153,0.0,0.0,0.051,0.0
