Week,All,1+ Photos,1000+ Photos,10000+ Photos
2012-08-27,0.1429,0.2909,0.4706,0.7742
2012-09-03,0.1154,0.2632,0.4257,0.7778
2012-09-10,0.1477,0.303,0.5043,0.7206
2012-09-17,0.1497,0.3636,0.6136,0.9048
2012-09-24,0.1608,0.3214,0.5196,0.8113
2012-10-01,0.1486,0.3059,0.5102,0.8214
2012-10-08,0.1472,0.3117,0.6667,0.8235
2012-10-15,0.1032,0.2321,0.5,0.9167
2012-10-22,0.1129,0.2188,0.4194,0.6154
2012-10-29,0.162,0.3239,0.6364,0.875
2012-11-05,0.1806,0.3514,0.5909,0.7895
2012-11-12,0.1966,0.3833,0.6471,0.9167
2012-11-19,0.1722,0.3085,0.6047,0.8182
2012-11-26,0.1969,0.3641,0.5739,0.8588
2012-12-03,0.1913,0.3474,0.5888,0.8644
2012-12-10,0.1349,0.2636,0.5079,0.8214
2012-12-17,0.1407,0.2643,0.442,0.7692
2012-12-24,0.1757,0.2763,0.5,0.7805
2012-12-31,0.1179,0.1959,0.3973,0.8065
2013-01-07,0.2355,0.3422,0.5458,0.8255
2013-01-14,0.1092,0.1979,0.4512,0.7667
2013-01-21,0.1429,0.2207,0.5439,0.96
2013-01-28,0.1676,0.2214,0.4912,0.5556
2013-02-04,0.0865,0.1353,0.3396,0.6522
2013-02-11,0.1185,0.1416,0.3902,0.6522
2013-02-18,0.2588,0.2892,0.3876,0.5785
2013-02-25,0.2513,0.2903,0.4067,0.6123
2013-03-04,0.1283,0.1603,0.2812,0.5651
2013-03-11,0.1005,0.1283,0.25,0.5571
2013-03-18,0.1222,0.1509,0.2557,0.56
2013-03-25,0.1441,0.1759,0.296,0.5952
2013-04-01,0.1043,0.1398,0.2594,0.6033
2013-04-08,0.1184,0.1513,0.272,0.5474
2013-04-15,0.113,0.1395,0.264,0.5616
2013-04-22,0.1396,0.1682,0.3109,0.6444
2013-04-29,0.0633,0.0785,0.1748,0.3514
2013-05-06,0.1172,0.1537,0.289,0.7155
2013-05-13,0.0807,0.1063,0.2126,0.4935
2013-05-20,0.0729,0.1051,0.2012,0.4434
2013-05-27,0.0558,0.0781,0.1848,0.5192
2013-06-03,0.0587,0.0794,0.18,0.4318
2013-06-10,0.0612,0.0795,0.1667,0.4
2013-06-17,0.0992,0.1291,0.2676,0.5283
2013-06-24,0.0693,0.0871,0.1645,0.4471
2013-07-01,0.0807,0.1034,0.2088,0.456
2013-07-08,0.0699,0.0878,0.1893,0.4845
2013-07-15,0.0708,0.0876,0.2037,0.506
2013-07-22,0.1421,0.1676,0.2741,0.5395
2013-07-29,0.1131,0.1446,0.2535,0.558
2013-08-05,0.133,0.152,0.2619,0.5957
2013-08-12,0.1169,0.1404,0.2606,0.5625
2013-08-19,0.1334,0.1608,0.2881,0.6054
2013-08-26,0.1238,0.1468,0.2647,0.5682
2013-09-02,0.1032,0.1198,0.246,0.5782
2013-09-09,0.1005,0.121,0.2494,0.619
2013-09-16,0.1078,0.1261,0.2467,0.473
2013-09-23,0.124,0.147,0.2449,0.3458
2013-09-30,0.1253,0.1517,0.2733,0.4028
2013-10-07,0.12,0.1439,0.2613,0.3527
2013-10-14,0.1051,0.1292,0.2368,0.3158
2013-10-21,0.0876,0.1056,0.1966,0.2913
2013-10-28,0.0699,0.0859,0.169,0.2434
2013-11-04,0.0765,0.1548,0.275,0.5
