Country Code,Count
US,3552
GB,574
DE,315
FR,310
AU,287
CA,267
CH,134
NL,108
JP,106
SE,99
ES,75
DK,61
BE,61
IT,53
NZ,53
BR,49
NO,48
SG,39
IE,33
FI,31
MX,31
AT,28
RU,24
IN,22
CN,22
KR,21
HK,19
PL,15
TR,14
CL,14
PT,14
IL,13
AR,11
CZ,11
TH,10
AE,9
MY,9
GR,9
ZA,9
PH,8
RO,7
HU,7
PE,7
QA,6
HR,5
CO,5
IS,5
KW,5
GT,3
KZ,3
TW,3
PR,3
BG,2
JM,2
UA,2
SI,2
LT,2
RS,2
NG,2
MA,2
EC,2
PF,2
CY,2
ID,2
NA,2
CR,2
VN,2
NC,1
LI,1
PA,1
MO,1
UG,1
LU,1
BM,1
FO,1
BO,1
EU,1
JE,1
VE,1
CD,1
ET,1
IQ,1
KE,1
OM,1
GU,1
CG,1
KY,1
LV,1
BH,1
MV,1
